SPF;Update Function;Initialization;Threshold;Avg Lower Quota;Avg Gini;Avg Footrule;Avg KT;Std KT;Egalitarian KT;Total Number of Satisfaction Special Voter;Avg SQ KT
borda;unit-cost;equal;3;('borda', 'unit-cost', 'equal', 3, 0.9302666666666667);('borda', 'unit-cost', 'equal', 3, 0.10769943014499897);('borda', 'unit-cost', 'equal', 3, 6.041777777777778);('borda', 'unit-cost', 'equal', 3, 3.509933333333333);('borda', 'unit-cost', 'equal', 3, np.float64(0.34771136362552857));('borda', 'unit-cost', 'equal', 3, np.float64(4.525555555555556));('borda', 'unit-cost', 'equal', 3, 17.0);('borda', 'unit-cost', 'equal', 3, 15.563844444444443)
borda;unit-cost;equal;7;('borda', 'unit-cost', 'equal', 7, 0.9998666666666666);('borda', 'unit-cost', 'equal', 7, 0.013340546248929545);('borda', 'unit-cost', 'equal', 7, 6.048888888888891);('borda', 'unit-cost', 'equal', 7, 3.517044444444445);('borda', 'unit-cost', 'equal', 7, np.float64(0.34581170976273073));('borda', 'unit-cost', 'equal', 7, np.float64(4.5022222222222235));('borda', 'unit-cost', 'equal', 7, 30.0);('borda', 'unit-cost', 'equal', 7, 15.608377777777779)
borda;unit-cost;special-voter-25-percent;0;('borda', 'unit-cost', 'special-voter-25-percent', 0, 0.6280000000000002);('borda', 'unit-cost', 'special-voter-25-percent', 0, 0.6388811676325362);('borda', 'unit-cost', 'special-voter-25-percent', 0, 6.048622222222222);('borda', 'unit-cost', 'special-voter-25-percent', 0, 3.521088888888889);('borda', 'unit-cost', 'special-voter-25-percent', 0, np.float64(0.374100739420472));('borda', 'unit-cost', 'special-voter-25-percent', 0, np.float64(4.607777777777778));('borda', 'unit-cost', 'special-voter-25-percent', 0, 4.0);('borda', 'unit-cost', 'special-voter-25-percent', 0, 15.752955555555555)
borda;unit-cost;special-voter-25-percent;3;('borda', 'unit-cost', 'special-voter-25-percent', 3, 0.9501555555555556);('borda', 'unit-cost', 'special-voter-25-percent', 3, 0.10959073351921643);('borda', 'unit-cost', 'special-voter-25-percent', 3, 6.057644444444445);('borda', 'unit-cost', 'special-voter-25-percent', 3, 3.5306444444444436);('borda', 'unit-cost', 'special-voter-25-percent', 3, np.float64(0.36017865257682385));('borda', 'unit-cost', 'special-voter-25-percent', 3, np.float64(4.568888888888889));('borda', 'unit-cost', 'special-voter-25-percent', 3, 18.0);('borda', 'unit-cost', 'special-voter-25-percent', 3, 15.828955555555554)
borda;unit-cost;special-voter-25-percent;7;('borda', 'unit-cost', 'special-voter-25-percent', 7, 0.9951555555555555);('borda', 'unit-cost', 'special-voter-25-percent', 7, 0.019513140853218817);('borda', 'unit-cost', 'special-voter-25-percent', 7, 6.175466666666668);('borda', 'unit-cost', 'special-voter-25-percent', 7, 3.6234444444444445);('borda', 'unit-cost', 'special-voter-25-percent', 7, np.float64(0.4330083820281622));('borda', 'unit-cost', 'special-voter-25-percent', 7, np.float64(4.6322222222222225));('borda', 'unit-cost', 'special-voter-25-percent', 7, 30.0);('borda', 'unit-cost', 'special-voter-25-percent', 7, 17.03686666666666)
borda;kt-reset;equal;0;('borda', 'kt-reset', 'equal', 0, 0.4481111111111111);('borda', 'kt-reset', 'equal', 0, 0.6490775496463144);('borda', 'kt-reset', 'equal', 0, 6.053777777777778);('borda', 'kt-reset', 'equal', 0, 3.5240666666666667);('borda', 'kt-reset', 'equal', 0, np.float64(0.3474106652240282));('borda', 'kt-reset', 'equal', 0, np.float64(4.504444444444445));('borda', 'kt-reset', 'equal', 0, 1.0);('borda', 'kt-reset', 'equal', 0, 15.729711111111111)
borda;kt-reset;equal;3;('borda', 'kt-reset', 'equal', 3, 0.9580888888888889);('borda', 'kt-reset', 'equal', 3, 0.10223185119423674);('borda', 'kt-reset', 'equal', 3, 6.118844444444445);('borda', 'kt-reset', 'equal', 3, 3.5777111111111117);('borda', 'kt-reset', 'equal', 3, np.float64(0.34295069060809386));('borda', 'kt-reset', 'equal', 3, np.float64(4.521111111111111));('borda', 'kt-reset', 'equal', 3, 19.0);('borda', 'kt-reset', 'equal', 3, 16.514733333333332)
borda;kt-reset;equal;7;('borda', 'kt-reset', 'equal', 7, 0.9999333333333332);('borda', 'kt-reset', 'equal', 7, 0.015380837818052742);('borda', 'kt-reset', 'equal', 7, 6.062266666666665);('borda', 'kt-reset', 'equal', 7, 3.535000000000001);('borda', 'kt-reset', 'equal', 7, np.float64(0.36106254494639595));('borda', 'kt-reset', 'equal', 7, np.float64(4.545555555555556));('borda', 'kt-reset', 'equal', 7, 30.0);('borda', 'kt-reset', 'equal', 7, 15.910422222222223)
borda;kt-reset;special-voter-25-percent;0;('borda', 'kt-reset', 'special-voter-25-percent', 0, 0.47146666666666665);('borda', 'kt-reset', 'special-voter-25-percent', 0, 0.6442911524671495);('borda', 'kt-reset', 'special-voter-25-percent', 0, 6.065333333333333);('borda', 'kt-reset', 'special-voter-25-percent', 0, 3.5330888888888885);('borda', 'kt-reset', 'special-voter-25-percent', 0, np.float64(0.34594375486595663));('borda', 'kt-reset', 'special-voter-25-percent', 0, np.float64(4.51888888888889));('borda', 'kt-reset', 'special-voter-25-percent', 0, 2.0);('borda', 'kt-reset', 'special-voter-25-percent', 0, 15.824377777777778)
borda;kt-reset;special-voter-25-percent;3;('borda', 'kt-reset', 'special-voter-25-percent', 3, 0.9667111111111113);('borda', 'kt-reset', 'special-voter-25-percent', 3, 0.10129151595778745);('borda', 'kt-reset', 'special-voter-25-percent', 3, 6.1308);('borda', 'kt-reset', 'special-voter-25-percent', 3, 3.5854);('borda', 'kt-reset', 'special-voter-25-percent', 3, np.float64(0.34467744680016354));('borda', 'kt-reset', 'special-voter-25-percent', 3, np.float64(4.525555555555556));('borda', 'kt-reset', 'special-voter-25-percent', 3, 19.0);('borda', 'kt-reset', 'special-voter-25-percent', 3, 16.595888888888886)
